id,category,subcategory,name_en,name_ar,engine,template,standards,work_contexts,practice_tags,yates_section,yates_pages,yates_support
HL-MAT-003,MAT,powered_industrial_trucks,Forklift Collision,اصطدام الرافعة الشوكية,equipment-scene,forklift-warehouse,1910.178; 1926.602,warehouse; manufacturing; construction; distribution,forklift; collision; pit,Materials Handling and Storage — Powered Industrial Trucks,703–713,direct
HL-MAT-004,MAT,powered_industrial_trucks,Forklift Tip-Over,انقلاب الرافعة الشوكية,equipment-scene,forklift-warehouse,1910.178; 1926.602,warehouse; manufacturing; construction; distribution,forklift; tip-over; stability,Materials Handling and Storage — Powered Industrial Trucks; ramps/slopes,703–713,direct
HL-MAT-005,MAT,powered_industrial_trucks,Forklift-Pedestrian Interaction,تداخل الرافعة الشوكية مع المشاة,equipment-scene,forklift-warehouse,1910.178; 1926.602,warehouse; manufacturing; construction; distribution,forklift; pedestrian; struck-by,Materials Handling and Storage — PIT workplace-related training topics,704–705,direct
HL-MAT-006,MAT,powered_industrial_trucks,Forklift Falling Load,سقوط حمل من الرافعة الشوكية,equipment-scene,forklift-warehouse,1910.178; 1926.602,warehouse; manufacturing; construction; distribution,forklift; falling-load; load-stability,Materials Handling and Storage — forklift incident examples / load stability,703–705,direct
HL-MAT-007,MAT,powered_industrial_trucks,Forklift Mast / Crush Point,نقطة سحق عند سارية الرافعة الشوكية,equipment-scene,forklift-warehouse,1910.178; 1910.147,warehouse; manufacturing; maintenance,forklift; mast; crush,Materials Handling and Storage — forklift fatality examples,703,direct
HL-MAT-008,MAT,loading_docks,Loading-Dock / Trailer Separation,انفصال المقطورة عن رصيف التحميل,equipment-scene,loading-dock,1910.178; 1910.176,warehouse; distribution; manufacturing,loading-dock; trailer; forklift,Materials Handling and Storage — loading docks / entering semi-trailers,711,direct
HL-MAT-009,MAT,manual_equipment,Pallet-Jack Hazard,خطر رافعة البالتات,equipment-scene,pallet-jack,1910.176; 1910.178,warehouse; retail; manufacturing; distribution,pallet-jack; materials; pinch,Materials Handling and Storage — Pallet Jacks,702–703,direct
HL-MAT-010,MAT,storage,Unstable Material Stacking,تكديس مواد غير مستقر,equipment-scene,warehouse-storage,1910.176,warehouse; construction; manufacturing; distribution,materials; stacking; storage,Materials Handling and Storage — secure storage practices,various,direct
HL-MAT-011,MAT,storage,Storage-Rack Failure,فشل رفوف التخزين,equipment-scene,warehouse-storage,1910.176,warehouse; distribution; manufacturing,materials; rack; storage-rack,Materials Handling and Storage — secure storage concepts,various,supplemented
HL-MAT-012,MAT,cranes_rigging,Crane / Suspended Load,رافعة / حمل معلّق,equipment-scene,crane-suspended-load,1910.179; 1926 Subpart CC,construction; manufacturing; maintenance; yards,crane; suspended-load; hoisting,Materials Handling — cranes and hoists in coverage,"12, 699+",direct
HL-MAT-013,MAT,cranes_rigging,Rigging Failure,فشل معدات الربط والرفع,equipment-scene,crane-suspended-load,1910.184; 1926.251,construction; manufacturing; maintenance; yards,rigging; sling; dropped-load,Materials Handling — rigging / hoisting concepts,699+,direct
HL-MAT-014,MAT,battery_charging,Forklift Battery Charging,شحن بطارية الرافعة الشوكية,equipment-scene,forklift-battery-charging,1910.178; 1926.441,warehouse; manufacturing; maintenance; distribution,forklift; battery-charging; hydrogen,Materials Handling and Storage — Electric Forklifts; battery charging/changing,705–706,direct
